alg time busca
BuscaBinaria: 193 1
BuscaBinaria: 1235 1500
BuscaBinaria: 209 1
BuscaBinaria: 1161 1600
BuscaBinaria: 238 1
BuscaBinaria: 2350 1700
BuscaBinaria: 315 1
BuscaBinaria: 1317 1800
BuscaBinaria: 184 1
BuscaBinaria: 1976 1900
BuscaBinaria: 190 1
BuscaBinaria: 1290 2000
BuscaBinaria: 1102 1
BuscaBinaria: 2043 2100
BuscaBinaria: 181 1
BuscaBinaria: 1157 2200
BuscaBinaria: 115 1
BuscaBinaria: 270 2300
BuscaBinaria: 85 1
BuscaBinaria: 243 2400
BuscaBinaria: 94 1
BuscaBinaria: 241 2500
BuscaBinaria: 95 1
BuscaBinaria: 228 2600
BuscaBinaria: 83 1
BuscaBinaria: 252 2700
BuscaBinaria: 93 1
BuscaBinaria: 257 2800
BuscaBinaria: 95 1
BuscaBinaria: 223 2900
BuscaBinaria: 82 1
BuscaBinaria: 253 3000
BuscaBinaria: 93 1
BuscaBinaria: 335 3100
BuscaBinaria: 2579 1
BuscaBinaria: 318 3200
BuscaBinaria: 101 1
BuscaBinaria: 341 3300
BuscaBinaria: 105 1
BuscaBinaria: 413 3400
BuscaBinaria: 91 1
BuscaBinaria: 339 3500
BuscaBinaria: 107 1
BuscaBinaria: 331 3600
BuscaBinaria: 114 1
BuscaBinaria: 353 3700
BuscaBinaria: 110 1
BuscaBinaria: 345 3800
BuscaBinaria: 112 1
BuscaBinaria: 316 3900
BuscaBinaria: 98 1
BuscaBinaria: 355 4000
BuscaBinaria: 105 1
BuscaBinaria: 341 4100
BuscaBinaria: 99 1
BuscaBinaria: 330 4200
BuscaBinaria: 103 1
BuscaBinaria: 340 4300
BuscaBinaria: 113 1
BuscaBinaria: 351 4400
BuscaBinaria: 99 1
BuscaBinaria: 350 4500
BuscaBinaria: 94 1
BuscaBinaria: 327 4600
BuscaBinaria: 107 1
BuscaBinaria: 343 4700
BuscaBinaria: 88 1
BuscaBinaria: 334 4800
BuscaBinaria: 96 1
BuscaBinaria: 1228 4900
BuscaBinaria: 105 1
BuscaBinaria: 369 5000
BuscaBinaria: 262 1
BuscaBinaria: 369 5100
BuscaBinaria: 108 1
BuscaBinaria: 366 5200
BuscaBinaria: 103 1
BuscaBinaria: 358 5300
BuscaBinaria: 116 1
BuscaBinaria: 345 5400
BuscaBinaria: 105 1
